vrfid,AGGR_totalByteBuffer(%),AGGR_totalflowbuffer(%),AGGR_uplinkbytebuffer(%),AGGR_downlinkbytebuffer(%),AGGR_totalByteBuffer,AGGR_totalflowbuffer,AGGR_uplinkbytebuffer,AGGR_downlinkbytebuffer
9,6.5828186068,6.57282169924,6.56122999737,6.60454981983,4533574600.0,91240.0,2266790800.0,2266783800.0
2,0.128798818109,0.128841424913,0.145377798971,0.112110324755,88703500.0,1788.5,50225500.0,38478000.0
16,0.0293757167322,0.0307965944369,0.0307396088655,0.0280028154067,20231000.0,427.5,10620000.0,9611000.0
1,0.0146245505094,0.0143717440706,0.0116156356288,0.0176533407833,10071900.0,199.5,4013000.0,6058900.0
19,0.00252069814874,0.00252135860887,0.00251242754193,0.00252902338706,1736000.0,35.0,868000.0,868000.0
9,6.71672546869,6.69615215463,6.69468736967,6.73890914042,4625796000.0,92952.0,2312898000.0,2312898000.0
2,0.143833708075,0.143285207801,0.158372664697,0.129198714346,99058000.0,1989.0,54715000.0,44343000.0
1,0.0101016687908,0.00972524034851,0.00998892563041,0.0102151566763,6957000.0,135.0,3451000.0,3506000.0
16,0.0302022037059,0.0288515463672,0.0334039977507,0.0269792602041,20800200.0,400.5,11540500.0,9259700.0
19,0.00183244300905,0.0019450480697,0.00182643062092,0.00183849511202,1262000.0,27.0,631000.0,631000.0
Total,100,100,100,100,68869808980.0,1388140.5,34548260020.0,34321548960.0
